name,final_price,mrp,discount,rating,categories,manufacturer,image_url,product_url
Chaturbhuj Japani Oil 15 ml,₹192.06,₹198.00,3% OFF,4.7,"Ayush, Ayurvedic",Mkt: Chaturbhuj Pharmaceutical Co,https://www.netmeds.com/images/product-v1/150x150/857387/japani_oil_15_ml_0.jpg,https://www.netmeds.com/non-prescriptions/japani-oil-15-ml
Natel Anbuta Plus Drops 50 ml,₹462.83,₹495.00,7% OFF,Not rated,"Ayush, Homeopathy",Mkt: Natel Neutratec (India) Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/980994/natel_anbuta_plus_drops_50_ml_0_0.jpg,https://www.netmeds.com/non-prescriptions/natel-anbuta-plus-drops-50-ml
Dr. Reckeweg R42 Haemovenin Drops 22 ml,₹259.92,₹285.00,9% OFF,5.0,"Ayush, Homeopathy",Mkt: Dr. Roshanlal Aggarwal & Sons P. Ltd,https://www.netmeds.com/images/product-v1/150x150/826105/dr_reckeweg_r42_haemovenin_drops_22_ml_0.jpg,https://www.netmeds.com/non-prescriptions/dr-reckeweg-r42-haemovenin-22ml
Dr. Reckeweg R13 Prohaemorrin Drops 22 ml,₹248.52,₹285.00,13% OFF,Not rated,"Ayush, Homeopathy",Mkt: Dr. Roshanlal Aggarwal & Sons P. Ltd,https://www.netmeds.com/images/product-v1/150x150/826132/dr_reckeweg_r13_prohaemorrin_drops_22_ml_0.jpg,https://www.netmeds.com/non-prescriptions/dr-reckeweg-r13-prohaemorrin-22ml
Krishna's Herbal & Ayurveda Diabic Care Juice 1000 ml,₹490.00,₹490.00,0% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Sandipani Healthcare Pvt. Ltd.,https://www.netmeds.com/images/product-v1/150x150/953927/krishnas_herbal_ayurveda_diabic_care_juice_1000_ml_204521_0_3.jpg,https://www.netmeds.com/non-prescriptions/krishnas-herbal-ayurveda-diabic-care-juice-1000-ml
Baidyanath Basant Kusumakar Ras Tablet 50's,₹3597.04,₹4313.00,17% OFF,5.0,"Ayush, Ayurvedic",Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/886880/baidyanath_basant_kusumakar_ras_tablet_50_s_0.jpg,https://www.netmeds.com/non-prescriptions/baidyanath-basant-kusumakar-ras-tablet-50-s
Kerala Ayurveda Imugest Tablet (Pack of 10 x 10's),₹550.00,₹550.00,0% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Kerala Ayurveda Limited,https://www.netmeds.com/images/product-v1/150x150/825057/kerala_ayurveda_imugest_tablet_pack_of_10_x_10_s_0.jpg,https://www.netmeds.com/non-prescriptions/kerala-ayurveda-imugest-tablet-100-s
Dr. Reckeweg BC 21 Tablet 20 gm,₹168.40,₹200.00,16% OFF,5.0,"Ayush, Homeopathy",Mkt: Dr. Roshanlal Aggarwal & Sons P. Ltd,https://www.netmeds.com/images/product-v1/150x150/826156/dr_reckeweg_bc_21_tablet_20_gm_0.jpg,https://www.netmeds.com/non-prescriptions/dr-reckeweg-bio-combination-21-20gm
Patanjali Honey 500 gm,₹176.40,₹210.00,16% OFF,5.0,"Ayush, Ayurvedic",Mkt: Patanjali Ayurved Ltd,https://www.netmeds.com/images/product-v1/150x150/406031/patanjali_honey_500_gm_48838_0_1.jpg,https://www.netmeds.com/non-prescriptions/honey-500gm
Dr. Reckeweg R25 Prostatan Drops 22 ml,₹260.21,₹285.00,9% OFF,4.5,"Ayush, Homeopathy",Mkt: Dr. Roshanlal Aggarwal & Sons P. Ltd,https://www.netmeds.com/images/product-v1/150x150/826122/dr_reckeweg_r25_prostatan_drops_22_ml_0.jpg,https://www.netmeds.com/non-prescriptions/dr-reckeweg-r25-prostatan-22ml
SBL Homoeopathic Home Kit,₹671.78,₹845.00,21% OFF,5.0,"Ayush, Homeopathy",Mkt: SBL Pvt. Ltd.,https://www.netmeds.com/images/product-v1/150x150/825531/sbl_homoeopathic_home_kit_0_0.jpg,https://www.netmeds.com/non-prescriptions/sbl-homoeopathic-home-kit-1-s
Dr.Vaidya's Herboslim Tablet 30's,₹237.50,₹250.00,5% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Herbolab India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/986169/dr_vaidyas_herboslim_tablet_30s_0_0.jpg,https://www.netmeds.com/non-prescriptions/dr-vaidyas-herboslim-tablet-30s
Wheezal Power Up+ Drops 30 ml,₹290.00,₹400.00,28% OFF,Not rated,"Ayush, Homeopathy",Mkt: Wheezal Homoeo Pharma,https://www.netmeds.com/images/product-v1/150x150/832496/wheezal_power_up_drops_30_ml_0.jpg,https://www.netmeds.com/non-prescriptions/wheezal-power-up-drops-30-ml
Lama Ayush kwath Tablet 60's,₹132.00,₹150.00,12% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Lama Pharmaceuticals,https://www.netmeds.com/images/product-v1/150x150/915685/lama_ayush_kwath_tablet_60s_0_0.jpg,https://www.netmeds.com/non-prescriptions/lama-ayush-kwath-tablet-60s
Dr. Reckeweg R27 Renocalcin Drops 22 ml,₹243.68,₹285.00,15% OFF,5.0,"Ayush, Homeopathy",Mkt: Dr. Roshanlal Aggarwal & Sons P. Ltd,https://www.netmeds.com/images/product-v1/150x150/826120/dr_reckeweg_r27_renocalcin_drops_22_ml_0.jpg,https://www.netmeds.com/non-prescriptions/dr-reckeweg-r27-renocalcin-22ml
Dr. Reckeweg Calcarea Phosphorica 6X Tablet 20 gm,₹162.60,₹200.00,19% OFF,Not rated,"Ayush, Homeopathy",Mkt: Dr. Roshanlal Aggarwal & Sons P. Ltd,https://www.netmeds.com/images/product-v1/150x150/826188/dr_reckeweg_calcarea_phosphorica_6x_tablet_20_gm_0.jpg,https://www.netmeds.com/non-prescriptions/dr-reckeweg-calcarea-phosphoricum-6x-20gm
Dabur Janma Ghunti Honey 125 ml,₹71.25,₹75.00,5% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Dabur India Ltd,https://www.netmeds.com/images/product-v1/150x150/15913/dabur_janma_ghunti_honey_125_ml_33707_0_1.jpg,https://www.netmeds.com/non-prescriptions/janma-ghunti-honey-125ml
Dr. Reckeweg R5 Gastreu Drops 22 ml,₹273.60,₹285.00,4% OFF,5.0,"Ayush, Homeopathy",Mkt: Dr. Roshanlal Aggarwal & Sons P. Ltd,https://www.netmeds.com/images/product-v1/150x150/826139/dr_reckeweg_r5_gastreu_drops_22_ml_0.jpg,https://www.netmeds.com/non-prescriptions/dr-reckeweg-r5-gastreu-22ml
Lama Draksharist Tonic 450 ml,₹162.80,₹185.00,12% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Lama Pharmaceuticals,https://www.netmeds.com/images/product-v1/150x150/905933/lama_draksharist_tonic_450_ml_0_1.jpg,https://www.netmeds.com/non-prescriptions/lama-draksharist-tonic-450-ml
Dr.Willmar Schwabe Sabal Serrulata Ø Liquid 30 ml,₹324.00,₹360.00,10% OFF,Not rated,"Ayush, Homeopathy",Mkt: Dr. Willmar Schwabe India Pvt. Ltd.,https://www.netmeds.com/images/product-v1/150x150/856502/dr_willmar_schwabe_sabal_serrulata_q_liquid_30_ml_0_0.jpg,https://www.netmeds.com/non-prescriptions/dr-willmar-schwabe-sabal-serrulata-q-liquid-30-ml
Aimil NEERI KFT Sugar Free Syrup (Pack of 3 x 200 ml),₹1612.50,₹1875.00,14% OFF,5.0,"Ayush, Ayurvedic",Mkt: Aimil Pharmaceuticals (India) Limited,https://www.netmeds.com/images/product-v1/150x150/951945/aimil_neeri_kft_sugar_free_syrup_pack_of_3_x_200_ml_0_0.jpg,https://www.netmeds.com/non-prescriptions/aimil-neeri-kft-sugar-free-syrup-pack-of-3-x-200-ml-1s
Lama Amrit Kalp Paste 500 gm,₹346.72,₹394.00,12% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Lama Pharmaceuticals,https://www.netmeds.com/images/product-v1/150x150/905919/lama_amrit_kalp_paste_500_gm_0_2.jpg,https://www.netmeds.com/non-prescriptions/lama-amrit-kalp-paste-500-gm
Lama Mahalaxmivilas Ras (Swarn Yukt) Tablet 25's,₹664.00,₹800.00,17% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Lama Pharmaceuticals,https://www.netmeds.com/images/product-v1/150x150/907621/lama_mahalaxmivilas_ras_swarn_yukt_tablet_25s_0_0.jpg,https://www.netmeds.com/non-prescriptions/lama-mahalaxmivilas-ras-swarn-yukt-tablet-25s
Lord's Tone Up Tonic 450 ml,₹308.13,₹425.00,28% OFF,Not rated,"Ayush, Homeopathy",Mkt: Lords Homoeopathic Labaratory Pvt. Ltd.,https://www.netmeds.com/images/product-v1/150x150/932422/lords_tone_up_tonic_450_ml_0_0.jpg,https://www.netmeds.com/non-prescriptions/lords-tone-up-tonic-450-ml
Planet Ayurveda Total Heart Support Capsules 60's,₹1215.00,₹1350.00,10% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Planet Ayurveda,https://www.netmeds.com/images/product-v1/150x150/824165/planet_ayurveda_total_heart_support_capsules_60_s_0.jpg,https://www.netmeds.com/non-prescriptions/planet-ayurveda-total-heart-support-capsules-60-s
Dr.Willmar Schwabe Thyroidinum 3X Tablet 20 gm,₹189.00,₹210.00,10% OFF,5.0,"Ayush, Homeopathy",Mkt: Dr. Willmar Schwabe India Pvt. Ltd.,https://www.netmeds.com/images/product-v1/150x150/856585/dr_willmar_schwabe_thyroidinum_3x_tablet_20_gm_0.jpg,https://www.netmeds.com/non-prescriptions/dr-willmar-schwabe-thyroidinum-3x-tablet-20-gm
Kairali Chyawanaprasam Lehya 500 gm,₹318.25,₹335.00,5% OFF,4.0,"Ayush, Ayurvedic",Mkt: Kairali Ayurvedic Products Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/895766/kairali_chyawanaprasam_lehya_500_gm_0_0.jpg,https://www.netmeds.com/non-prescriptions/kairali-chyawanaprasam-paste-500-gm
Gtee Killi Ashwagandha Powder 100 gm,₹288.30,₹310.00,7% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Gtee Botanical Extract Private Limited,https://www.netmeds.com/images/product-v1/150x150/888323/gtee_killi_ashwagandha_powder_100_gm_0.jpg,https://www.netmeds.com/non-prescriptions/killi-ashwagandha-powder-100-gm
Dr. Reckeweg R7 Hepagalen Drops 22 ml,₹271.04,₹285.00,5% OFF,4.7,"Ayush, Homeopathy",Mkt: Dr. Roshanlal Aggarwal & Sons P. Ltd,https://www.netmeds.com/images/product-v1/150x150/826137/dr_reckeweg_r7_hepagalen_drops_22_ml_0.jpg,https://www.netmeds.com/non-prescriptions/dr-reckeweg-r7-hepagalen-22ml
Lama Basant Malti Ras (S.M. Yu) Tablet 2.5 gm,₹1153.70,₹1390.00,17% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Lama Pharmaceuticals,https://www.netmeds.com/images/product-v1/150x150/905906/lama_basant_malti_ras_s_m_yu_tablet_2_5_gm_0_1.jpg,https://www.netmeds.com/non-prescriptions/lama-basant-malti-ras-s-m-yu-tablet-2-5-gm
Dr. Reckeweg R18 Cystophylin drops 22 ml,₹243.68,₹285.00,15% OFF,5.0,"Ayush, Homeopathy",Mkt: Dr. Roshanlal Aggarwal & Sons P. Ltd,https://www.netmeds.com/images/product-v1/150x150/826129/dr_reckeweg_r18_cystophylin_drops_22_ml_0.jpg,https://www.netmeds.com/non-prescriptions/dr-reckeweg-r18-cystophylin-22ml
Planet Ayurveda Immune Booster Capsules 60's,₹1215.00,₹1350.00,10% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Planet Ayurveda,https://www.netmeds.com/images/product-v1/150x150/824146/planet_ayurveda_immune_booster_capsules_60_s_0.jpg,https://www.netmeds.com/non-prescriptions/planet-ayurveda-immune-booster-capsules-60-s
Axiom Jeevan Ras Karela Jamun Juice 1 ltr,₹316.20,₹340.00,7% OFF,5.0,"Ayush, Ayurvedic",Mkt: Axiom Ayurveda Private Limited,https://www.netmeds.com/images/product-v1/150x150/824669/axiom_jeevan_ras_karela_jamun_juice_1_ltr_0_1.jpg,https://www.netmeds.com/non-prescriptions/jeevan-ras-karela-jamun-swaras-juice-500ml
Dr.Willmar Schwabe Nuphar Lutea Ø Liquid 30 ml,₹218.95,₹290.00,25% OFF,5.0,"Ayush, Homeopathy",Mkt: Dr. Willmar Schwabe India Pvt. Ltd.,https://www.netmeds.com/images/product-v1/150x150/856433/dr_willmar_schwabe_nuphar_lutea_q_liquid_30_ml_0.jpg,https://www.netmeds.com/non-prescriptions/dr-willmar-schwabe-nuphar-lutea-q-liquid-30-ml
Kayam Churna 100 gm,₹100.80,₹105.00,4% OFF,4.7,"Ayush, Ayurvedic",Mkt: SHETH BROTHERS,https://www.netmeds.com/images/product-v1/150x150/413952/kayam_churna_100_gm_0.jpg,https://www.netmeds.com/non-prescriptions/kayam-churna-100gm
Zandu Rhumayog Gold Tablet 30's,₹547.40,₹595.00,8% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Emami Ltd,https://www.netmeds.com/images/product-v1/150x150/1004267/zandu_rhumayog_gold_tablet_30s_0_0.jpg,https://www.netmeds.com/non-prescriptions/zandu-rhumayog-gold-tablet-30s
Kapiva Wild Amla Juice 1 ltr,₹249.07,₹299.00,17% OFF,4.5,"Ayush, Ayurvedic",Mkt: Adret Retail Pvt Ltd (Kapiva),https://www.netmeds.com/images/product-v1/150x150/821278/kapiva_wild_amla_juice_1_ltr_61043_0_7.jpg,https://www.netmeds.com/non-prescriptions/kapiva-amla-juice-1-l-1l
Lama Giloy ghanbati Tablet 60's,₹123.75,₹150.00,18% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Lama Pharmaceuticals,https://www.netmeds.com/images/product-v1/150x150/915684/lama_giloy_ghanbati_tablet_60s_0_0.jpg,https://www.netmeds.com/non-prescriptions/lama-giloy-ghanbati-tablet-60s
Dr. JRK's Kabasura Kudineer Chooranam 50 gm,₹88.20,₹90.00,2% OFF,Not rated,"Ayush, Siddha",Mkt: Caredura Products,https://www.netmeds.com/images/product-v1/150x150/912280/dr_jrks_kabasura_kudineer_chooranam_50_gm_0_1.jpg,https://www.netmeds.com/non-prescriptions/dr-jrks-kabasura-kudineer-chooranam-50-gm
Dr. JRK's Nilavembu Kudineer Churanam (Pack of 10 x 5 gm),₹161.70,₹165.00,2% OFF,Not rated,"Ayush, Siddha",Mkt: Caredura Products,https://www.netmeds.com/images/product-v1/150x150/912281/dr_jrks_nilavembu_kudineer_churanam_pack_of_10_x_5_gm_0_0.jpg,https://www.netmeds.com/non-prescriptions/dr-jrks-nilavembu-kudineer-churanam-pack-of-10-x-5-gm-1s
Baidyanath Kesari Kalp Royal Chyawanprash 500 gm,₹422.75,₹445.00,5% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/805010/baidyanath_kesari_kalp_royal_chyawanprash_500_kg_0.jpg,https://www.netmeds.com/non-prescriptions/baidyanath-kesari-kalp-royal-500gm
Haslab Alfa-Ag With Ashwagandha and Ginseng Tonic 450 ml,₹202.80,₹260.00,22% OFF,Not rated,"Ayush, Homeopathy",Mkt: Hahnemann Scientific Laboratory (India) Pvt. Ltd.,https://www.netmeds.com/images/product-v1/150x150/912567/haslab_alfa_ag_with_ashwagandha_and_ginseng_tonic_450_ml_0_0.jpg,https://www.netmeds.com/non-prescriptions/haslab-alfa-ag-with-ashwagandha-and-ginseng-tonic-450-ml
Dr.Juneja's Petsaffa Tablet 30's,₹90.16,₹98.00,8% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Divisa Herbals Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/857354/dr_junejas_petsaffa_tablets_30s_0_0.jpg,https://www.netmeds.com/non-prescriptions/dr-junejas-petsaffa-tablets-30-s
Kapiva Dia Free Juice 1 ltr,₹599.00,₹599.00,0% OFF,5.0,"Ayush, Ayurvedic",Mkt: Adret Retail Pvt Ltd (Kapiva),https://www.netmeds.com/images/product-v1/150x150/825910/kapiva_dia_free_juice_1_ltr_64195_0_8.jpg,https://www.netmeds.com/non-prescriptions/kapiva-dia-free-juice-1-ltr
Kapiva Karela Jamun Juice 1 ltr,₹329.18,₹399.00,18% OFF,5.0,"Ayush, Ayurvedic",Mkt: Adret Retail Pvt Ltd (Kapiva),https://www.netmeds.com/images/product-v1/150x150/821331/kapiva_karela_jamun_juice_1_ltr_61117_0_4.jpg,https://www.netmeds.com/non-prescriptions/kapiva-karela-jamun-juice-1-l-1l
Himalaya AyurSlim Capsule (Pack of 3 x 60's),₹727.50,₹750.00,3% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Himalaya Wellness Company,https://www.netmeds.com/images/product-v1/150x150/407956/himalaya_ayurslim_capsule_pack_of_3_x_60s_50167_0_1.jpg,https://www.netmeds.com/non-prescriptions/ayur-slim-capsule-3n-x60-s-tri-pack
Bio-India's Immunity Drops 31 30 ml,₹124.50,₹150.00,17% OFF,Not rated,"Ayush, Homeopathy",Mkt: Bio-India Pharma Pvt. Ltd,https://www.netmeds.com/images/product-v1/150x150/909194/bio_indias_immunity_drops_31_30_ml_0_0.jpg,https://www.netmeds.com/non-prescriptions/bio-indias-immunity-drops-31-30-ml
Planet Ayurveda Ashwagandha Capsules 60's,₹1215.00,₹1350.00,10% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Planet Ayurveda,https://www.netmeds.com/images/product-v1/150x150/824121/planet_ayurveda_ashwagandha_capsules_60_s_0.jpg,https://www.netmeds.com/non-prescriptions/planet-ayurveda-ashwagandha-capsules-60-s
Aimil Amyron Syrup 200 ml,₹189.66,₹218.00,13% OFF,5.0,"Ayush, Ayurvedic",Mkt: Aimil Pharmaceuticals (India) Limited,https://www.netmeds.com/images/product-v1/150x150/935671/aimil_amyron_syrup_200_ml_0_0.jpg,https://www.netmeds.com/non-prescriptions/aimil-amyron-syrup-200-ml
Swadeshi Special Chyawanprash 250 gm,₹67.90,₹97.00,30% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Swadeshi Ayurved,https://www.netmeds.com/images/product-v1/150x150/827452/swadeshi_special_chyawanprash_250_gm_0.jpg,https://www.netmeds.com/non-prescriptions/swadeshi-special-chyawanprash-no-250gm
Adel Alfalfa Tonic 500 ml,₹1220.00,₹1220.00,0% OFF,5.0,"Ayush, Homeopathy",Mkt: Adelmar Pharma GMBH,https://www.netmeds.com/images/product-v1/150x150/847316/adel_alfalfa_tonic_500_ml_0_0.jpg,https://www.netmeds.com/non-prescriptions/adel-alfalfa-tonic-500ml
Axiom Jeevan Ras Shankhpushpi Juice 500 ml,₹276.00,₹300.00,8% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Axiom Ayurveda Private Limited,https://www.netmeds.com/images/product-v1/150x150/824719/axiom_jeevan_ras_shankhpushpi_juice_500_ml_0.jpg,https://www.netmeds.com/non-prescriptions/jeevan-ras-shankhpushpi-juice-500ml
Kapiva Triphala Juice 1 litre,₹249.07,₹299.00,17% OFF,5.0,"Ayush, Ayurvedic",Mkt: Adret Retail Pvt Ltd (Kapiva),https://www.netmeds.com/images/product-v1/150x150/899277/kapiva_triphala_juice_1_litre_0_2.jpg,https://www.netmeds.com/non-prescriptions/kapiva-triphala-juice-1-litre
Aimil NEERI KFT Sugar Free Syrup 200 ml,₹535.50,₹595.00,10% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Aimil Pharmaceuticals (India) Limited,https://www.netmeds.com/images/product-v1/150x150/951944/aimil_neeri_kft_sugar_free_syrup_200_ml_0_0.jpg,https://www.netmeds.com/non-prescriptions/aimil-neeri-kft-sugar-free-syrup-200-ml
Baidyanath Amla Juice 1000 ml,₹193.20,₹230.00,16% OFF,4.7,"Ayush, Ayurvedic",Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/947754/baidyanath_amla_juice_1000_ml_172759_0_1.jpg,https://www.netmeds.com/non-prescriptions/baidyanath-nagpur-amla-juice-1000-ml
Kerala Ayurveda Brahmi Pearls Capsules (Pack of 4 x 10's),₹340.00,₹340.00,0% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Kerala Ayurveda Limited,https://www.netmeds.com/images/product-v1/150x150/825035/kerala_ayurveda_brahmi_pearls_capsules_pack_of_4_x_10_s_0.jpg,https://www.netmeds.com/non-prescriptions/kerala-ayurveda-brahmi-pearls-40-s
Axiom Jeevan Ras Nirgundi Juice 500 ml,₹230.00,₹250.00,8% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Axiom Ayurveda Private Limited,https://www.netmeds.com/images/product-v1/150x150/824698/axiom_jeevan_ras_nirgundi_juice_500_ml_0.jpg,https://www.netmeds.com/non-prescriptions/jeevan-ras-nirgundi-juice-500ml
Dabur Shilajit Gold Capsule 10's (Free 2 Capsule Worth Rs.55) 1's,₹233.75,₹275.00,15% OFF,Not rated,"Ayush, Ayurvedic",Mkt: Dabur India Ltd,https://www.netmeds.com/images/product-v1/150x150/1089925/dabur_shilajit_gold_capsule_10s_free_2_capsule_worth_rs_55_1s_555231_0_1.jpg,https://www.netmeds.com/non-prescriptions/dabur-shilajit-gold-capsule-10s-free-2-capsule-worth-rs-55-1s
